18-12-12 09:43:09 218  The Program is to begin running VER3.5   20151125
18-12-12 09:43:46 156  VIN:L6T7722Z7JN109983
18-12-12 09:44:09 218  RECV:$7F,$2E,$78,
18-12-12 09:44:09 218  RECV:$7F,$2E,$78,
18-12-12 09:44:09 218  RECV:$7F,$2E,$78,
18-12-12 09:44:09 218  RECV:$7F,$2E,$78,
18-12-12 09:44:09 218  RECV:$7F,$2E,$78,
18-12-12 09:44:09 218  RECV:$7F,$2E,$78,
18-12-12 09:44:09 281  RECV:$7F,$2E,$78,
18-12-12 09:44:09 281  RECV:$7F,$2E,$78,
18-12-12 09:44:09 281  RECV:$7F,$2E,$78,
18-12-12 09:44:09 281  RECV:$7F,$2E,$78,
18-12-12 09:44:09 281  RECV:$7F,$2E,$78,
18-12-12 09:44:09 281  RECV:$7F,$2E,$78,
18-12-12 09:44:09 281  RECV:$7F,$2E,$78,
18-12-12 09:44:09 343  RECV:$7F,$2E,$78,
18-12-12 09:44:09 343  RECV:$7F,$2E,$78,
18-12-12 09:44:09 343  RECV:$7F,$2E,$78,
18-12-12 09:44:09 343  RECV:$7F,$2E,$78,
18-12-12 09:44:09 343  RECV:$7F,$2E,$78,
18-12-12 09:44:09 343  RECV:$7F,$2E,$78,
18-12-12 09:44:09 406  RECV:$7F,$2E,$78,
18-12-12 09:44:09 406  RECV:$7F,$2E,$78,
18-12-12 09:44:09 406  RECV:$7F,$2E,$78,
18-12-12 09:44:09 406  RECV:$7F,$2E,$78,
18-12-12 09:44:09 406  RECV:$7F,$2E,$78,
18-12-12 09:44:09 406  RECV:$7F,$2E,$78,
18-12-12 09:44:09 468  RECV:$7F,$2E,$78,
18-12-12 09:44:09 468  RECV:$7F,$2E,$78,
18-12-12 09:44:09 468  RECV:$7F,$2E,$78,
18-12-12 09:44:09 468  RECV:$7F,$2E,$78,
18-12-12 09:44:09 468  RECV:$7F,$2E,$78,
18-12-12 09:44:09 468  RECV:$7F,$2E,$78,
18-12-12 09:44:09 531  RECV:$7F,$2E,$78,
18-12-12 09:44:09 531  RECV:$7F,$2E,$78,
18-12-12 09:44:09 531  RECV:$7F,$2E,$78,
18-12-12 09:44:09 531  RECV:$6E,$01,$10,
18-12-12 09:44:11 031  SEND:$11,$03,
18-12-12 09:44:11 093  RECV:$51,$03,
18-12-12 09:44:11 093  SEND:$0A,$01,$01,$F4,$02,$03,$03,$6E,$00,$04,$00,$00,$05,$26,$25,$25,$25,$0B,$00,$00,$07,$A4,$0C,$00,$00,$07,$AC,$0D,$00,$7F,$FF,$FF,$0F,$00,$00,$10,$00,$00,
18-12-12 09:44:11 156  RECV:
18-12-12 09:44:11 156  SEND:$10,$03,
18-12-12 09:44:11 218  RECV:$50,$03,$00,$32,$00,$C8,
18-12-12 09:44:11 218  SEND:$3E,$00,
18-12-12 09:44:11 281  RECV:$7E,$00,
18-12-12 09:44:11 281  SEND:$22,$F1,$90,
18-12-12 09:44:11 421  RECV:$62,$F1,$90,$4C,$36,$54,$37,$37,$32,$32,$5A,$37,$4A,$4E,$31,$30,$39,$39,$38,$33,
18-12-12 09:44:11 421  SEND:$22,$F1,$01,
18-12-12 09:44:11 484  RECV:$62,$F1,$01,$03,$01,$0F,$01,
18-12-12 09:44:11 484  SEND:$14,$FF,$FF,$FF,
18-12-12 09:44:11 546  RECV:$54,
18-12-12 09:44:11 546  SEND:$19,$02,$09,
18-12-12 09:44:11 609  RECV:$59,$02,$A9,
18-12-12 09:44:12 625  SEND:$0A,$01,$01,$F4,$02,$03,$03,$6E,$00,$04,$00,$00,$05,$1E,$05,$05,$1E,$0B,$00,$00,$07,$A1,$0C,$00,$00,$07,$A9,$0D,$00,$7F,$FF,$FF,$0F,$00,$00,$10,$00,$00,
18-12-12 09:44:12 687  RECV:
18-12-12 09:44:12 687  SEND:$10,$03,
18-12-12 09:44:15 187  SEND:$10,$03,
18-12-12 09:44:17 687  SEND:$10,$03,
18-12-12 09:44:20 187  SEND:$10,$03,
18-12-12 09:44:22 687  SEND:$10,$03,
18-12-12 09:44:25 187  SEND:$0A,$01,$01,$F4,$02,$03,$03,$6E,$00,$04,$00,$00,$05,$06,$05,$05,$05,$0B,$00,$00,$07,$C1,$0C,$00,$00,$07,$C9,$0D,$00,$7F,$FF,$FF,$0F,$00,$00,$10,$00,$00,
18-12-12 09:44:25 250  RECV:
18-12-12 09:44:25 250  SEND:$10,$01,
18-12-12 09:44:25 312  RECV:$50,$01,$00,$32,$00,$C8,
18-12-12 09:44:25 312  SEND:$3E,$00,
18-12-12 09:44:25 375  RECV:$7E,$00,
18-12-12 09:44:25 375  SEND:$22,$F1,$87,
18-12-12 09:44:25 437  RECV:$62,$F1,$87,$31,$31,$37,$30,$30,$33,$37,$34,
18-12-12 09:44:25 437  SEND:$22,$F1,$8A,
18-12-12 09:44:25 500  RECV:$62,$F1,$8A,$32,$37,$30,$30,$34,$37,$20,$20,$20,$20,
18-12-12 09:44:25 500  SEND:$22,$F1,$93,
18-12-12 09:44:25 562  RECV:$62,$F1,$93,$48,$57,$3A,$56,$32,$2E,$30,$20,$20,$20,$20,$20,$20,$20,$20,$20,
18-12-12 09:44:25 562  SEND:$22,$F1,$95,
18-12-12 09:44:25 625  RECV:$62,$F1,$95,$53,$57,$3A,$56,$30,$31,$2E,$4D,$20,$20,$20,$20,$20,$20,$20,$20,
18-12-12 09:44:25 625  SEND:$22,$F1,$8C,
18-12-12 09:44:25 687  RECV:$62,$F1,$8C,$32,$37,$30,$30,$34,$37,$30,$30,$31,$31,$37,$30,$30,$33,$37,$34,$4A,$41,$52,$43,$30,$30,$32,$33,
18-12-12 09:44:25 687  SEND:$22,$68,$00,
18-12-12 09:44:25 750  RECV:$62,$68,$00,$FF,$FF,$FF,$FF,$FF,$FF,$FF,$FF,$FF,$FF,$FF,$FF,$FF,$FF,$FF,$FF,$FF,$FF,$FF,$FF,
18-12-12 09:44:25 750  SEND:$22,$68,$01,
18-12-12 09:44:25 812  RECV:$62,$68,$01,$34,$36,$30,$30,$37,$32,$39,$38,$32,$39,$30,$39,$39,$34,$36,
18-12-12 09:44:25 812  SEND:$22,$68,$1E,
18-12-12 09:44:25 875  RECV:$62,$68,$1E,$00,
18-12-12 09:44:25 875  SEND:$10,$03,
18-12-12 09:44:25 937  RECV:$50,$03,$00,$32,$00,$C8,
18-12-12 09:44:25 937  SEND:$27,$01,
18-12-12 09:44:26 000  RECV:$67,$01,$00,$03,$B8,$77,
18-12-12 09:44:26 000  SEND:$27,$02,$10,$55,$5E,$52,
18-12-12 09:44:26 062  RECV:$67,$02,
18-12-12 09:44:26 265  SEND:$2E,$F1,$90,$4C,$36,$54,$37,$37,$32,$32,$5A,$37,$4A,$4E,$31,$30,$39,$39,$38,$33,
18-12-12 09:44:26 328  RECV:$6E,$F1,$90,
18-12-12 09:44:26 328  SEND:$2E,$F1,$9D,$20,$18,$12,$12,
18-12-12 09:44:26 390  RECV:$6E,$F1,$9D,
18-12-12 09:44:26 390  SEND:$2E,$F1,$01,$AF,$E0,$00,$00,$00,$00,$00,$00,
18-12-12 09:44:26 453  RECV:$6E,$F1,$01,
18-12-12 09:44:26 453  SEND:$2E,$F1,$10,$FF,$6D,$21,$00,$00,$02,$00,$00,
18-12-12 09:44:26 515  RECV:$6E,$F1,$10,
18-12-12 09:44:26 515  SEND:$2E,$68,$1D,$C7,$4F,$03,$88,$BF,$09,$91,$B4,$82,$4F,$54,$00,$AB,$1E,$9C,$5D,
18-12-12 09:44:26 578  RECV:$6E,$68,$1D,
18-12-12 09:44:26 578  SEND:$14,$FF,$FF,$FF,
18-12-12 09:44:26 640  RECV:$54,
18-12-12 09:44:26 640  SEND:$11,$01,
18-12-12 09:44:26 765  RECV:$7F,$11,$78,
18-12-12 09:44:29 156  RECV:$51,$01,
18-12-12 09:44:32 156  SEND:$10,$01,
18-12-12 09:44:32 218  RECV:$50,$01,$00,$32,$00,$C8,
18-12-12 09:44:32 218  SEND:$22,$F1,$90,
18-12-12 09:44:32 281  RECV:$62,$F1,$90,$4C,$36,$54,$37,$37,$32,$32,$5A,$37,$4A,$4E,$31,$30,$39,$39,$38,$33,
18-12-12 09:44:32 281  SEND:$22,$F1,$9D,
18-12-12 09:44:32 343  RECV:$62,$F1,$9D,$20,$18,$12,$12,
18-12-12 09:44:32 343  SEND:$22,$68,$11,
18-12-12 09:44:32 406  RECV:$62,$68,$11,$31,$37,$32,$39,$38,$32,$39,$39,$39,$34,$36,$20,$20,$20,$20,
18-12-12 09:44:32 406  SEND:$22,$F1,$01,
18-12-12 09:44:32 468  RECV:$62,$F1,$01,$AF,$E0,$00,$00,$00,$00,$00,$00,
18-12-12 09:44:32 468  SEND:$22,$F1,$10,
18-12-12 09:44:32 531  RECV:$62,$F1,$10,$FF,$6D,$21,$00,$00,$02,$00,$00,
18-12-12 09:44:32 531  SEND:$22,$68,$1E,
18-12-12 09:44:32 593  RECV:$62,$68,$1E,$01,
18-12-12 09:44:34 593  SEND:$19,$02,$09,
18-12-12 09:44:34 656  RECV:$59,$02,$3B,$93,$88,$13,$2B,$93,$87,$13,$2B,
18-12-12 09:44:35 234  SEND:$0A,$01,$01,$F4,$02,$03,$03,$6E,$00,$04,$83,$E8,$05,$06,$05,$05,$05,$0B,$00,$00,$07,$D2,$0C,$00,$00,$07,$DA,$0D,$00,$7F,$FF,$FF,$0F,$00,$00,$10,$00,$00,
18-12-12 09:44:35 296  RECV:
18-12-12 09:44:35 296  SEND:$10,$03,
18-12-12 09:44:35 359  RECV:$50,$03,$00,$32,$00,$C8,
18-12-12 09:44:35 406  SEND:$3E,$00,
18-12-12 09:44:35 468  RECV:$7E,$00,
18-12-12 09:44:35 515  SEND:$22,$F1,$8A,
18-12-12 09:44:35 578  RECV:$62,$F1,$8A,$35,$37,$31,$30,$36,$36,
18-12-12 09:44:35 625  SEND:$22,$F1,$93,
18-12-12 09:44:35 765  RECV:$62,$F1,$93,$30,$2E,$30,$2E,$34,$20,$20,$20,$20,$20,$20,$20,$20,$20,$20,$20,
18-12-12 09:44:35 812  SEND:$22,$F1,$95,
18-12-12 09:44:35 953  RECV:$62,$F1,$95,$30,$2E,$30,$2E,$31,$20,$20,$20,$20,$20,$20,$20,$20,$20,$20,$20,
18-12-12 09:44:36 000  SEND:$27,$01,
18-12-12 09:44:36 062  RECV:$67,$01,$6A,$B1,$DB,$D1,
18-12-12 09:44:36 109  SEND:$27,$02,$50,$DA,$AC,$B9,
18-12-12 09:44:36 171  RECV:$67,$02,
18-12-12 09:44:36 218  SEND:$2E,$F1,$90,$4C,$36,$54,$37,$37,$32,$32,$5A,$37,$4A,$4E,$31,$30,$39,$39,$38,$33,
18-12-12 09:44:36 281  RECV:$6E,$F1,$90,
18-12-12 09:44:36 328  SEND:$2E,$F1,$9D,$20,$18,$12,$12,
18-12-12 09:44:36 390  RECV:$6E,$F1,$9D,
18-12-12 09:44:36 437  SEND:$2E,$F1,$12,$46,$45,$2D,$34,$4B,$42,$00,$00,
18-12-12 09:44:36 500  RECV:$6E,$F1,$12,
18-12-12 09:44:36 546  SEND:$2E,$F1,$01,$02,$00,$00,$00,$00,$00,$00,$00,
18-12-12 09:44:36 609  RECV:$6E,$F1,$01,
18-12-12 09:44:36 656  SEND:$2E,$F1,$10,$FF,$6D,$21,$00,$00,$02,$00,$00,
18-12-12 09:44:36 718  RECV:$6E,$F1,$10,
18-12-12 09:44:36 765  SEND:$11,$01,
18-12-12 09:44:36 828  RECV:$51,$01,
18-12-12 09:44:38 828  SEND:$10,$01,
18-12-12 09:44:38 890  RECV:$50,$01,$00,$32,$00,$C8,
18-12-12 09:44:40 890  SEND:$22,$F1,$90,
18-12-12 09:44:41 015  RECV:$62,$F1,$90,$4C,$36,$54,$37,$37,$32,$32,$5A,$37,$4A,$4E,$31,$30,$39,$39,$38,$33,
18-12-12 09:44:41 062  SEND:$22,$F1,$9D,
18-12-12 09:44:41 125  RECV:$62,$F1,$9D,$20,$18,$12,$12,
18-12-12 09:44:41 171  SEND:$22,$F1,$12,
18-12-12 09:44:41 234  RECV:$62,$F1,$12,$46,$45,$2D,$34,$4B,$42,$00,$00,
18-12-12 09:44:41 281  SEND:$22,$F1,$01,
18-12-12 09:44:41 343  RECV:$62,$F1,$01,$02,$00,$00,$00,$00,$00,$00,$00,
18-12-12 09:44:41 390  SEND:$22,$F1,$10,
18-12-12 09:44:41 453  RECV:$62,$F1,$10,$FF,$6D,$21,$00,$00,$02,$00,$00,
18-12-12 09:44:41 500  SEND:$14,$FF,$FF,$FF,
18-12-12 09:44:41 562  RECV:$7F,$14,$78,
18-12-12 09:44:41 625  RECV:$54,
18-12-12 09:44:42 625  SEND:$19,$02,$09,
18-12-12 09:44:42 687  RECV:$59,$02,$CB,
18-12-12 09:44:42 734  SEND:$20,
18-12-12 09:44:42 796  RECV:
18-12-12 09:44:48 812  ´óÂ½ESCDTC=0
18-12-12 09:44:48 812  FE-3AC_ICUDTC=0
18-12-12 09:44:48 812  FE-3AC_EPS_WDDTC=0
18-12-12 09:45:21 406  The Program is to end   running.
18-12-12 09:51:40 593  The Program is to begin running VER3.5   20151125

